**************************************************************
GEN-LAV-AUTON-EL --- MODULO SECONDARIO
GEN-LAV-AUTON-AU --- MODULO SECONDARIO
GEN-IMPRESE-EL --- MODULO SECONDARIO
GEN-IMPRESE-AU --- MODULO SECONDARIO
GEN-DIR-LAV --- MODULO SECONDARIO
GEN-CERT-ENERG --- MODULO SECONDARIO
GEN-DOC-EDI --- MODULO SECONDARIO
GEN-IMMAGG-INIZIO-LAVORI --- MODULO SECONDARIO
GEN-INTAGG-INIZIO-LAVORI-EL --- MODULO SECONDARIO
GEN-INTAGG-INIZIO-LAVORI-AU --- MODULO SECONDARIO


GEN-CDI --- ALLEGATO
ALTRI_ALLEGATI --- ALLEGATO
Modulo_an_dir_lav_firma_autografa --- ALLEGATO
Modulo_an_dir_lav_firma_elettronica --- ALLEGATO
Modulo_an_cert_energ_firma_autografa --- ALLEGATO
Modulo_an_cert_energ_firma_elettronica --- ALLEGATO
Modulo_doc_edi_firma_autografa --- ALLEGATO
Modulo_doc_edi_firma_elettronica --- ALLEGATO
Modulo_ult_part_compilato_firma_autografa --- ALLEGATO
Modulo_ult_part_compilato_firma_elettronica --- ALLEGATO
Modulo_compilato_firma_autografa --- ALLEGATO
Modulo_compilato_firma_elettronica --- ALLEGATO
Anagrafica_impresa_AU --- ALLEGATO
Anagrafica_impresa_EL --- ALLEGATO
Anagrafica_lavoratore_autonomo_AU --- ALLEGATO
Anagrafica_lavoratore_autonomo_EL --- ALLEGATO
GEN_ULT_PROVV --- ALLEGATO
GEN_TUTELA_AMBIENTI --- ALLEGATO
GEN_TERRE_SCAVO --- ALLEGATO
GEN_SPAZI_RACCOLTA --- ALLEGATO
GEN_SCARICHI_ACQUE --- ALLEGATO
GEN_RELAZIONE_ENERGETICA --- ALLEGATO
GEN_PLANIMETRIA_RETI --- ALLEGATO
GEN_DOC_NOTIFICA --- ALLEGATO
GEN_CONTR_COSTR --- ALLEGATO
GEN_MOD_STATISTICI --- ALLEGATO
GEN_FORNITURA_ACQUA --- ALLEGATO
GEN_FORNITURA_ELETTRICA --- ALLEGATO
GEN_FORNITURA_GAS --- ALLEGATO
GEN_FIBRA_OTTICA --- ALLEGATO
GEN_AUT_TULPS --- ALLEGATO
GEN_AUT_ILLUM_EST --- ALLEGATO
GEN-ULT-INT-AU --- ALLEGATO
GEN-ULT-INT-EL --- ALLEGATO
